user_id,username,favorite_genres,favorite_authors
1,User_1,Self-Help|Biography|Mystery,Adam Grant|Brandon Sanderson
2,User_2,Historical Fiction|Non-fiction,Jane Austen|Nicholas Sparks
3,User_3,Fantasy,Robert Kiyosaki|Sheryl Sandberg
4,User_4,Non-fiction,Peter Thiel|Arthur Conan Doyle
5,User_5,Romance|Science Fiction,James Clear
6,User_6,Mystery|Biography|Business,Sheryl Sandberg|Dale Carnegie
7,User_7,Mystery|Romance|Biography,Isaac Asimov|Arthur Conan Doyle
8,User_8,Fantasy|Biography,Gillian Flynn
9,User_9,Business|Science Fiction,James Clear
10,User_10,Fantasy|Non-fiction,Brandon Sanderson|Robert Kiyosaki
11,User_11,Fantasy,Agatha Christie|Ken Follett
12,User_12,Self-Help|Business,Isaac Asimov
13,User_13,Romance|Mystery|Thriller,Peter Thiel|Adam Grant
14,User_14,Romance,George R.R. Martin
15,User_15,Historical Fiction|Thriller,Malcolm Gladwell|Yuval Noah Harari
16,User_16,Romance,Sheryl Sandberg|Nicholas Sparks
17,User_17,Business,Brandon Sanderson|Daniel Kahneman
18,User_18,Business|Mystery,Jane Austen
19,User_19,Non-fiction,Nicholas Sparks
20,User_20,Science Fiction|Romance,Dale Carnegie|Stephen King
21,User_21,Non-fiction|Science Fiction,Simon Sinek
22,User_22,Historical Fiction|Self-Help,Walter Isaacson|Ken Follett
23,User_23,Biography|Non-fiction,Walter Isaacson|J.R.R. Tolkien
24,User_24,Fantasy|Non-fiction|Science Fiction,Sheryl Sandberg
25,User_25,Thriller|Self-Help,Agatha Christie|Sheryl Sandberg
26,User_26,Business|Romance|Fantasy,Agatha Christie|Yuval Noah Harari
27,User_27,Fantasy|Biography|Self-Help,Isaac Asimov
28,User_28,Romance,Colleen Hoover
29,User_29,Science Fiction|Romance|Biography,Tim Ferriss|George R.R. Martin
30,User_30,Business,Philip K. Dick
31,User_31,Self-Help,Dale Carnegie
32,User_32,Biography|Mystery|Thriller,Nicholas Sparks
33,User_33,Romance|Fantasy|Biography,Arthur C. Clarke
34,User_34,Fantasy,Sheryl Sandberg
35,User_35,Self-Help,Dan Brown
36,User_36,Science Fiction,J.R.R. Tolkien|Robert Kiyosaki
37,User_37,Biography|Non-fiction|Fantasy,Nicholas Sparks
38,User_38,Biography|Mystery,Robert Kiyosaki
39,User_39,Romance|Biography|Science Fiction,Agatha Christie|J.K. Rowling
40,User_40,Mystery,Robert Kiyosaki
41,User_41,Thriller|Mystery|Business,James Clear|Nicholas Sparks
42,User_42,Science Fiction|Biography,Brandon Sanderson|Jane Austen
43,User_43,Non-fiction|Science Fiction,Malcolm Gladwell|Robert Kiyosaki
44,User_44,Mystery|Fantasy,Walter Isaacson|Arthur C. Clarke
45,User_45,Non-fiction|Fantasy|Romance,J.K. Rowling
46,User_46,Business|Biography|Fantasy,Agatha Christie|Walter Isaacson
47,User_47,Biography|Romance|Fantasy,Ken Follett
48,User_48,Self-Help|Thriller|Historical Fiction,Simon Sinek|Isaac Asimov
49,User_49,Mystery,J.K. Rowling|Neil Gaiman
50,User_50,Historical Fiction|Biography|Mystery,Arthur Conan Doyle|Ray Bradbury
51,User_51,Romance|Non-fiction|Science Fiction,Yuval Noah Harari|James Clear
52,User_52,Mystery|Self-Help|Romance,Philip K. Dick
53,User_53,Business|Historical Fiction,Isaac Asimov|George R.R. Martin
54,User_54,Mystery,Arthur C. Clarke
55,User_55,Science Fiction|Biography|Self-Help,Ray Bradbury|Dan Brown
56,User_56,Thriller|Science Fiction|Mystery,Ray Bradbury|Malcolm Gladwell
57,User_57,Fantasy,Arthur C. Clarke|George R.R. Martin
58,User_58,Science Fiction|Biography|Historical Fiction,Adam Grant
59,User_59,Historical Fiction,Philip K. Dick
60,User_60,Non-fiction|Mystery,Gillian Flynn
61,User_61,Biography|Business,Dan Brown|Gillian Flynn
62,User_62,Mystery|Non-fiction|Thriller,Peter Thiel
63,User_63,Science Fiction,George R.R. Martin
64,User_64,Fantasy,Ray Bradbury|Malcolm Gladwell
65,User_65,Self-Help|Science Fiction|Historical Fiction,Brandon Sanderson
66,User_66,Self-Help|Biography|Thriller,Peter Thiel
67,User_67,Self-Help|Historical Fiction,Sheryl Sandberg|Daniel Kahneman
68,User_68,Mystery|Science Fiction|Biography,J.K. Rowling|Yuval Noah Harari
69,User_69,Business,Agatha Christie
70,User_70,Romance|Science Fiction|Self-Help,Dan Brown|George R.R. Martin
71,User_71,Self-Help|Historical Fiction|Fantasy,Robert Kiyosaki
72,User_72,Romance|Non-fiction,Isaac Asimov|Tim Ferriss
73,User_73,Romance,Dale Carnegie
74,User_74,Thriller|Self-Help|Romance,Sheryl Sandberg|George R.R. Martin
75,User_75,Science Fiction|Biography|Romance,George R.R. Martin
76,User_76,Non-fiction|Romance,Colleen Hoover
77,User_77,Mystery,Dale Carnegie
78,User_78,Historical Fiction|Fantasy|Thriller,Isaac Asimov|Arthur Conan Doyle
79,User_79,Business|Fantasy|Historical Fiction,Malcolm Gladwell
80,User_80,Business|Science Fiction|Biography,Jane Austen
81,User_81,Fantasy|Science Fiction|Business,Simon Sinek|Dan Brown
82,User_82,Historical Fiction|Non-fiction|Biography,Arthur Conan Doyle|Tim Ferriss
83,User_83,Fantasy,J.R.R. Tolkien
84,User_84,Self-Help,Brandon Sanderson|Neil Gaiman
85,User_85,Self-Help,George R.R. Martin|Yuval Noah Harari
86,User_86,Mystery|Non-fiction,Dale Carnegie|Agatha Christie
87,User_87,Biography,Daniel Kahneman
88,User_88,Historical Fiction|Business|Thriller,Malcolm Gladwell|Adam Grant
89,User_89,Thriller,Isaac Asimov
90,User_90,Fantasy|Thriller|Non-fiction,Arthur Conan Doyle
91,User_91,Thriller,Isaac Asimov
92,User_92,Mystery,Stephen King|Nicholas Sparks
93,User_93,Historical Fiction,Sheryl Sandberg|J.K. Rowling
94,User_94,Romance,Sheryl Sandberg
95,User_95,Biography|Science Fiction,Isaac Asimov
96,User_96,Self-Help|Thriller,Philip K. Dick|Neil Gaiman
97,User_97,Thriller|Biography,Ken Follett|Ray Bradbury
98,User_98,Romance|Thriller|Business,Philip K. Dick|Dale Carnegie
99,User_99,Science Fiction|Fantasy|Historical Fiction,Philip K. Dick|Sheryl Sandberg
100,User_100,Romance|Science Fiction,Adam Grant
101,User_101,Self-Help,Nicholas Sparks
102,User_102,Self-Help|Thriller|Science Fiction,Neil Gaiman|Robert Kiyosaki
103,User_103,Fantasy,Philip K. Dick
104,User_104,Biography|Science Fiction,James Clear
105,User_105,Romance,Peter Thiel|Yuval Noah Harari
106,User_106,Science Fiction|Fantasy,Tim Ferriss|Sheryl Sandberg
107,User_107,Biography|Fantasy,Yuval Noah Harari|Walter Isaacson
108,User_108,Thriller,Yuval Noah Harari
109,User_109,Non-fiction,Brandon Sanderson
110,User_110,Fantasy|Self-Help,Adam Grant|J.R.R. Tolkien
111,User_111,Historical Fiction|Romance|Thriller,Colleen Hoover
112,User_112,Business|Non-fiction|Self-Help,Arthur Conan Doyle
113,User_113,Self-Help,Neil Gaiman|Adam Grant
114,User_114,Romance|Self-Help|Biography,Peter Thiel|Neil Gaiman
115,User_115,Self-Help|Romance|Mystery,Walter Isaacson|Neil Gaiman
116,User_116,Mystery,Jane Austen
117,User_117,Romance|Science Fiction|Thriller,Colleen Hoover|Peter Thiel
118,User_118,Fantasy|Romance,Jane Austen|Brandon Sanderson
119,User_119,Business|Fantasy,Nicholas Sparks
120,User_120,Historical Fiction|Romance|Mystery,Walter Isaacson|J.R.R. Tolkien
121,User_121,Fantasy|Biography,Ken Follett
122,User_122,Self-Help|Thriller,George R.R. Martin|Peter Thiel
123,User_123,Romance,Isaac Asimov|Walter Isaacson
124,User_124,Romance,Jane Austen|Tim Ferriss
125,User_125,Mystery|Thriller,Agatha Christie
126,User_126,Fantasy|Thriller|Science Fiction,Stephen King
127,User_127,Self-Help|Biography|Historical Fiction,Dale Carnegie
128,User_128,Thriller|Fantasy|Romance,J.R.R. Tolkien|Brandon Sanderson
129,User_129,Self-Help|Fantasy,Ken Follett
130,User_130,Science Fiction,Arthur C. Clarke|Simon Sinek
131,User_131,Thriller,Colleen Hoover
132,User_132,Historical Fiction|Non-fiction|Science Fiction,Daniel Kahneman|Nicholas Sparks
133,User_133,Fantasy,Sheryl Sandberg|Arthur Conan Doyle
134,User_134,Historical Fiction|Non-fiction,James Clear|Nicholas Sparks
135,User_135,Fantasy|Mystery|Historical Fiction,Nicholas Sparks
136,User_136,Business,Arthur C. Clarke
137,User_137,Thriller|Historical Fiction|Self-Help,Yuval Noah Harari
138,User_138,Fantasy|Mystery|Non-fiction,Isaac Asimov
139,User_139,Business,Dale Carnegie|Neil Gaiman
140,User_140,Self-Help,Sheryl Sandberg
141,User_141,Self-Help|Business,Colleen Hoover|Jane Austen
142,User_142,Business,Adam Grant|Dan Brown
143,User_143,Thriller|Historical Fiction,Walter Isaacson
144,User_144,Science Fiction|Thriller,Neil Gaiman|Daniel Kahneman
145,User_145,Historical Fiction|Science Fiction,Dale Carnegie|Simon Sinek
146,User_146,Historical Fiction,Sheryl Sandberg|Dan Brown
147,User_147,Non-fiction|Thriller,Adam Grant
148,User_148,Thriller|Non-fiction|Mystery,Arthur Conan Doyle|Nicholas Sparks
149,User_149,Historical Fiction|Science Fiction,Malcolm Gladwell
150,User_150,Self-Help|Mystery,J.K. Rowling|Daniel Kahneman
151,User_151,Mystery,J.R.R. Tolkien|Stephen King
152,User_152,Non-fiction,Ray Bradbury|Dale Carnegie
153,User_153,Biography|Science Fiction|Mystery,Robert Kiyosaki
154,User_154,Fantasy|Mystery,Agatha Christie
155,User_155,Self-Help|Non-fiction|Business,Agatha Christie|Yuval Noah Harari
156,User_156,Self-Help|Thriller|Romance,Colleen Hoover
157,User_157,Business|Science Fiction,Isaac Asimov
158,User_158,Historical Fiction|Biography|Non-fiction,Neil Gaiman|Robert Kiyosaki
159,User_159,Romance|Biography,Neil Gaiman
160,User_160,Business,Agatha Christie
161,User_161,Business,Brandon Sanderson|J.K. Rowling
162,User_162,Non-fiction|Historical Fiction,Stephen King|Simon Sinek
163,User_163,Business|Romance|Science Fiction,Nicholas Sparks
164,User_164,Historical Fiction|Fantasy,Nicholas Sparks|Colleen Hoover
165,User_165,Historical Fiction|Mystery,George R.R. Martin
166,User_166,Thriller|Non-fiction|Romance,Arthur C. Clarke|Ken Follett
167,User_167,Mystery|Science Fiction,Jane Austen|James Clear
168,User_168,Thriller|Mystery,Adam Grant|Jane Austen
169,User_169,Science Fiction|Thriller|Romance,Arthur C. Clarke
170,User_170,Self-Help,J.R.R. Tolkien
171,User_171,Fantasy|Self-Help|Thriller,James Clear
172,User_172,Historical Fiction,Nicholas Sparks
173,User_173,Non-fiction|Biography|Mystery,Nicholas Sparks|Adam Grant
174,User_174,Science Fiction,Daniel Kahneman|Malcolm Gladwell
175,User_175,Romance|Science Fiction,Jane Austen
176,User_176,Science Fiction|Historical Fiction|Business,Neil Gaiman
177,User_177,Historical Fiction,Simon Sinek
178,User_178,Romance|Biography,Philip K. Dick
179,User_179,Historical Fiction|Fantasy|Non-fiction,Adam Grant
180,User_180,Self-Help|Historical Fiction|Thriller,J.K. Rowling
181,User_181,Fantasy|Thriller|Mystery,Tim Ferriss|Dan Brown
182,User_182,Thriller|Romance|Biography,James Clear
183,User_183,Biography,Agatha Christie|Gillian Flynn
184,User_184,Science Fiction|Self-Help|Thriller,Malcolm Gladwell
185,User_185,Biography,Philip K. Dick
186,User_186,Fantasy,Philip K. Dick|Jane Austen
187,User_187,Non-fiction|Thriller|Historical Fiction,Simon Sinek|Brandon Sanderson
188,User_188,Romance,Daniel Kahneman
189,User_189,Biography|Business,Sheryl Sandberg|Ken Follett
190,User_190,Biography|Romance|Science Fiction,Arthur C. Clarke
191,User_191,Non-fiction|Biography,Dan Brown|Brandon Sanderson
192,User_192,Science Fiction|Mystery,Colleen Hoover|Brandon Sanderson
193,User_193,Historical Fiction,Philip K. Dick|Agatha Christie
194,User_194,Biography|Non-fiction,J.R.R. Tolkien
195,User_195,Romance|Self-Help,Daniel Kahneman
196,User_196,Fantasy|Self-Help,Jane Austen|Brandon Sanderson
197,User_197,Non-fiction|Business,Malcolm Gladwell|Yuval Noah Harari
198,User_198,Fantasy|Romance,Neil Gaiman|Dan Brown
199,User_199,Fantasy|Romance,Malcolm Gladwell|Dan Brown
200,User_200,Mystery|Self-Help|Thriller,Sheryl Sandberg
201,User_201,Historical Fiction|Mystery|Fantasy,Arthur Conan Doyle
202,User_202,Science Fiction|Historical Fiction,Ray Bradbury|Dale Carnegie
203,User_203,Fantasy,Ken Follett
204,User_204,Thriller|Mystery|Non-fiction,Nicholas Sparks
205,User_205,Historical Fiction,Malcolm Gladwell|Gillian Flynn
206,User_206,Thriller|Fantasy|Self-Help,Ray Bradbury
207,User_207,Science Fiction|Self-Help|Non-fiction,George R.R. Martin|Stephen King
208,User_208,Romance|Fantasy,J.K. Rowling
209,User_209,Thriller|Fantasy|Romance,Robert Kiyosaki
210,User_210,Non-fiction|Mystery,Tim Ferriss|Isaac Asimov
211,User_211,Science Fiction,J.R.R. Tolkien|Neil Gaiman
212,User_212,Business|Mystery|Science Fiction,Gillian Flynn|Robert Kiyosaki
213,User_213,Romance|Historical Fiction|Non-fiction,Nicholas Sparks
214,User_214,Biography|Thriller,Jane Austen
215,User_215,Business|Biography|Non-fiction,Malcolm Gladwell|Isaac Asimov
216,User_216,Non-fiction,James Clear|Nicholas Sparks
217,User_217,Self-Help|Business|Thriller,J.R.R. Tolkien|James Clear
218,User_218,Non-fiction|Historical Fiction|Science Fiction,Dan Brown|Peter Thiel
219,User_219,Non-fiction,Walter Isaacson
220,User_220,Biography|Science Fiction,Colleen Hoover|Agatha Christie
221,User_221,Science Fiction|Business|Mystery,Tim Ferriss
222,User_222,Business|Thriller,Agatha Christie
223,User_223,Business|Biography,George R.R. Martin
224,User_224,Romance|Non-fiction,Neil Gaiman|Colleen Hoover
225,User_225,Fantasy,Philip K. Dick|Peter Thiel
226,User_226,Non-fiction|Fantasy|Romance,Ray Bradbury
227,User_227,Biography|Self-Help|Business,J.K. Rowling|Dan Brown
228,User_228,Biography|Business,Adam Grant
229,User_229,Non-fiction,Yuval Noah Harari
230,User_230,Fantasy,Simon Sinek
231,User_231,Science Fiction|Mystery|Thriller,Tim Ferriss|Arthur C. Clarke
232,User_232,Non-fiction,Stephen King|J.K. Rowling
233,User_233,Biography|Mystery|Non-fiction,J.R.R. Tolkien|Nicholas Sparks
234,User_234,Non-fiction,Neil Gaiman|Adam Grant
235,User_235,Romance|Self-Help|Historical Fiction,Peter Thiel|J.K. Rowling
236,User_236,Mystery,Simon Sinek|Brandon Sanderson
237,User_237,Business,Simon Sinek|Sheryl Sandberg
238,User_238,Biography|Business,Adam Grant
239,User_239,Mystery|Business,J.R.R. Tolkien|Colleen Hoover
240,User_240,Mystery|Business,Isaac Asimov|J.R.R. Tolkien
241,User_241,Thriller|Business,Dale Carnegie
242,User_242,Historical Fiction|Science Fiction,Sheryl Sandberg
243,User_243,Business|Mystery,Ken Follett
244,User_244,Self-Help|Thriller|Historical Fiction,Adam Grant
245,User_245,Romance,Robert Kiyosaki|Adam Grant
246,User_246,Business|Romance,Sheryl Sandberg|Ray Bradbury
247,User_247,Romance|Self-Help,Isaac Asimov
248,User_248,Mystery|Science Fiction|Thriller,Stephen King|Jane Austen
249,User_249,Science Fiction|Mystery|Non-fiction,Peter Thiel|Ray Bradbury
250,User_250,Business|Romance|Biography,Stephen King
251,User_251,Thriller,Isaac Asimov
252,User_252,Mystery|Business|Self-Help,Tim Ferriss|J.R.R. Tolkien
253,User_253,Science Fiction|Fantasy,Simon Sinek
254,User_254,Non-fiction|Biography,Nicholas Sparks|Simon Sinek
255,User_255,Thriller,Yuval Noah Harari|Ray Bradbury
256,User_256,Biography|Historical Fiction,Robert Kiyosaki|Simon Sinek
257,User_257,Self-Help|Science Fiction,Stephen King
258,User_258,Romance|Mystery|Non-fiction,James Clear|Philip K. Dick
259,User_259,Science Fiction|Self-Help,J.K. Rowling|Ken Follett
260,User_260,Fantasy,Tim Ferriss|Walter Isaacson
261,User_261,Historical Fiction|Non-fiction|Thriller,Yuval Noah Harari
262,User_262,Mystery|Fantasy,Walter Isaacson
263,User_263,Self-Help|Thriller,Peter Thiel
264,User_264,Historical Fiction|Science Fiction,Adam Grant|Jane Austen
265,User_265,Fantasy|Romance|Business,J.K. Rowling|James Clear
266,User_266,Fantasy|Romance,J.K. Rowling|George R.R. Martin
267,User_267,Fantasy|Biography|Self-Help,Stephen King|James Clear
268,User_268,Self-Help|Science Fiction|Fantasy,J.R.R. Tolkien|Sheryl Sandberg
269,User_269,Mystery|Business|Self-Help,Malcolm Gladwell
270,User_270,Fantasy,J.K. Rowling|Philip K. Dick
271,User_271,Historical Fiction,Tim Ferriss
272,User_272,Romance|Thriller|Fantasy,Robert Kiyosaki|Brandon Sanderson
273,User_273,Mystery|Historical Fiction,Brandon Sanderson
274,User_274,Non-fiction|Fantasy,Gillian Flynn
275,User_275,Mystery|Romance|Science Fiction,Walter Isaacson
276,User_276,Romance,Philip K. Dick
277,User_277,Non-fiction|Mystery|Fantasy,Jane Austen|Dale Carnegie
278,User_278,Science Fiction|Historical Fiction,Peter Thiel|Robert Kiyosaki
279,User_279,Science Fiction|Biography|Business,Adam Grant
280,User_280,Mystery,Stephen King
281,User_281,Business|Fantasy,Arthur Conan Doyle
282,User_282,Thriller,Walter Isaacson|Isaac Asimov
283,User_283,Thriller|Romance|Business,Nicholas Sparks
284,User_284,Non-fiction,Stephen King|Jane Austen
285,User_285,Business,Malcolm Gladwell|Dan Brown
286,User_286,Romance,Stephen King
287,User_287,Romance|Biography,Isaac Asimov|James Clear
288,User_288,Business|Historical Fiction,Ray Bradbury|J.K. Rowling
289,User_289,Biography|Mystery|Fantasy,Agatha Christie|Dale Carnegie
290,User_290,Thriller|Non-fiction|Historical Fiction,Gillian Flynn|Colleen Hoover
291,User_291,Self-Help|Business|Romance,Simon Sinek
292,User_292,Romance,Walter Isaacson
293,User_293,Fantasy|Science Fiction,James Clear
294,User_294,Biography,Ken Follett|Peter Thiel
295,User_295,Business|Fantasy,Philip K. Dick|Arthur C. Clarke
296,User_296,Historical Fiction|Fantasy|Mystery,James Clear|Colleen Hoover
297,User_297,Science Fiction|Mystery,Nicholas Sparks|Stephen King
298,User_298,Self-Help|Mystery,Walter Isaacson
299,User_299,Biography|Non-fiction|Self-Help,Robert Kiyosaki|Dan Brown
300,User_300,Historical Fiction|Business,Brandon Sanderson|Yuval Noah Harari
301,User_301,Fantasy|Thriller,Malcolm Gladwell
302,User_302,Romance|Non-fiction,Stephen King
303,User_303,Mystery|Romance|Thriller,Agatha Christie
304,User_304,Historical Fiction|Fantasy|Science Fiction,Arthur Conan Doyle|Ray Bradbury
305,User_305,Historical Fiction,Yuval Noah Harari|Stephen King
306,User_306,Fantasy|Mystery,Daniel Kahneman
307,User_307,Romance,Isaac Asimov|Stephen King
308,User_308,Thriller,Isaac Asimov|Neil Gaiman
309,User_309,Mystery,J.R.R. Tolkien|James Clear
310,User_310,Historical Fiction,James Clear
311,User_311,Non-fiction|Thriller|Biography,Robert Kiyosaki|Walter Isaacson
312,User_312,Thriller|Science Fiction|Non-fiction,Colleen Hoover
313,User_313,Non-fiction,Daniel Kahneman|Nicholas Sparks
314,User_314,Non-fiction|Business|Science Fiction,James Clear|Brandon Sanderson
315,User_315,Business|Fantasy|Thriller,Ray Bradbury
316,User_316,Historical Fiction,Colleen Hoover|Simon Sinek
317,User_317,Business,Adam Grant|Isaac Asimov
318,User_318,Thriller|Mystery|Biography,George R.R. Martin
319,User_319,Romance,Isaac Asimov|Colleen Hoover
320,User_320,Mystery|Non-fiction,Nicholas Sparks
321,User_321,Non-fiction|Biography,Jane Austen
322,User_322,Mystery|Business,Brandon Sanderson|Simon Sinek
323,User_323,Biography,Ken Follett
324,User_324,Science Fiction|Non-fiction|Fantasy,Colleen Hoover
325,User_325,Business,Brandon Sanderson|Walter Isaacson
326,User_326,Biography,Malcolm Gladwell|Ray Bradbury
327,User_327,Romance,Jane Austen|Neil Gaiman
328,User_328,Science Fiction|Biography|Historical Fiction,Philip K. Dick|Colleen Hoover
329,User_329,Historical Fiction|Science Fiction|Mystery,Dale Carnegie|Ray Bradbury
330,User_330,Science Fiction|Mystery,Colleen Hoover
331,User_331,Business|Romance|Thriller,Malcolm Gladwell|George R.R. Martin
332,User_332,Romance|Fantasy,Tim Ferriss
333,User_333,Biography|Historical Fiction,Daniel Kahneman
334,User_334,Historical Fiction|Romance|Non-fiction,Brandon Sanderson|Nicholas Sparks
335,User_335,Self-Help,Stephen King|Nicholas Sparks
336,User_336,Non-fiction|Fantasy,Colleen Hoover|Nicholas Sparks
337,User_337,Fantasy|Science Fiction|Historical Fiction,Dale Carnegie
338,User_338,Non-fiction|Thriller|Mystery,Dale Carnegie
339,User_339,Mystery,J.K. Rowling
340,User_340,Non-fiction|Romance,Walter Isaacson|Philip K. Dick
341,User_341,Thriller|Self-Help|Biography,Isaac Asimov
342,User_342,Historical Fiction|Fantasy,Sheryl Sandberg
343,User_343,Science Fiction|Non-fiction|Business,Adam Grant|J.K. Rowling
344,User_344,Romance|Non-fiction|Self-Help,Stephen King
345,User_345,Romance|Science Fiction|Non-fiction,Arthur Conan Doyle
346,User_346,Business,Nicholas Sparks|Sheryl Sandberg
347,User_347,Self-Help|Thriller|Fantasy,Peter Thiel|James Clear
348,User_348,Non-fiction,Neil Gaiman|Philip K. Dick
349,User_349,Romance,Sheryl Sandberg
350,User_350,Mystery|Romance,J.R.R. Tolkien|Malcolm Gladwell
351,User_351,Fantasy,Brandon Sanderson|Agatha Christie
352,User_352,Romance|Biography,Arthur C. Clarke|Dan Brown
353,User_353,Fantasy,Dan Brown|Isaac Asimov
354,User_354,Romance|Biography|Non-fiction,Dale Carnegie|Yuval Noah Harari
355,User_355,Self-Help|Fantasy,Colleen Hoover|Ken Follett
356,User_356,Mystery|Biography,Gillian Flynn|Dale Carnegie
357,User_357,Mystery|Non-fiction|Romance,George R.R. Martin|Brandon Sanderson
358,User_358,Science Fiction|Biography|Historical Fiction,Gillian Flynn
359,User_359,Self-Help|Historical Fiction|Romance,Ray Bradbury|Colleen Hoover
360,User_360,Biography|Fantasy,Sheryl Sandberg
361,User_361,Mystery|Historical Fiction|Non-fiction,Ray Bradbury|J.R.R. Tolkien
362,User_362,Self-Help|Biography,Yuval Noah Harari
363,User_363,Mystery|Non-fiction|Science Fiction,Yuval Noah Harari
364,User_364,Thriller,Peter Thiel
365,User_365,Mystery|Business,Dale Carnegie|Malcolm Gladwell
366,User_366,Thriller|Non-fiction,Colleen Hoover|Ray Bradbury
367,User_367,Science Fiction|Historical Fiction,Dan Brown|Tim Ferriss
368,User_368,Biography|Business,Robert Kiyosaki|Adam Grant
369,User_369,Mystery|Business,Nicholas Sparks|J.R.R. Tolkien
370,User_370,Historical Fiction|Biography|Mystery,Yuval Noah Harari
371,User_371,Non-fiction|Business|Self-Help,J.K. Rowling
372,User_372,Business,Agatha Christie
373,User_373,Business|Self-Help|Science Fiction,J.R.R. Tolkien|Colleen Hoover
374,User_374,Thriller|Mystery|Biography,Ken Follett
375,User_375,Business,Dale Carnegie|Simon Sinek
376,User_376,Mystery,Ken Follett|Neil Gaiman
377,User_377,Mystery,Adam Grant|Philip K. Dick
378,User_378,Historical Fiction,Nicholas Sparks
379,User_379,Fantasy,Peter Thiel
380,User_380,Biography|Thriller,Dan Brown|Arthur Conan Doyle
381,User_381,Biography,Arthur Conan Doyle
382,User_382,Historical Fiction|Mystery|Thriller,Neil Gaiman|Isaac Asimov
383,User_383,Fantasy,Tim Ferriss|Simon Sinek
384,User_384,Non-fiction|Science Fiction,Jane Austen|Daniel Kahneman
385,User_385,Self-Help|Science Fiction|Fantasy,James Clear|Robert Kiyosaki
386,User_386,Fantasy|Romance|Non-fiction,Ken Follett
387,User_387,Self-Help|Biography,Arthur Conan Doyle|Arthur C. Clarke
388,User_388,Mystery,Ray Bradbury|Robert Kiyosaki
389,User_389,Science Fiction|Mystery|Historical Fiction,Brandon Sanderson|Colleen Hoover
390,User_390,Thriller,Gillian Flynn|Jane Austen
391,User_391,Historical Fiction,Walter Isaacson
392,User_392,Biography|Thriller|Romance,Nicholas Sparks|Philip K. Dick
