user_id,book_id,rating,interaction_type,review_text,timestamp
173,1053,,view,,2026-01-01
260,855,,shelve,,2026-01-01
253,216,2.0,rate,Decent idea but poorly written.,2026-01-01
47,1119,,view,,2026-01-01
388,87,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-01
65,347,3.0,rate,It was an okay read. Met expectations.,2026-01-01
336,249,,view,,2026-01-01
353,598,,view,,2026-01-01
302,770,3.0,rate,It was an okay read. Met expectations.,2026-01-01
155,153,,view,,2026-01-01
113,534,,view,,2026-01-01
116,421,,shelve,,2026-01-01
195,73,3.0,rate,It was an okay read. Met expectations.,2026-01-01
26,82,3.0,rate,It was an okay read. Met expectations.,2026-01-01
206,290,4.0,rate,"A wonderful read, really connected with the story.",2026-01-01
286,206,,view,,2026-01-01
78,81,3.0,rate,It was an okay read. Met expectations.,2026-01-01
367,231,,view,,2026-01-01
233,597,,view,,2026-01-01
155,520,3.0,rate,It was an okay read. Met expectations.,2026-01-01
247,1142,3.0,rate,It was an okay read. Met expectations.,2026-01-01
195,586,,view,,2026-01-01
228,938,3.0,rate,It was an okay read. Met expectations.,2026-01-01
135,649,,shelve,,2026-01-01
112,1159,3.0,rate,It was an okay read. Met expectations.,2026-01-01
3,961,,view,,2026-01-01
390,32,,shelve,,2026-01-01
107,954,,view,,2026-01-01
298,1169,3.0,rate,It was an okay read. Met expectations.,2026-01-01
321,1170,3.0,rate,It was an okay read. Met expectations.,2026-01-01
205,67,3.0,rate,It was an okay read. Met expectations.,2026-01-01
10,1172,3.0,rate,It was an okay read. Met expectations.,2026-01-01
298,960,3.0,rate,It was an okay read. Met expectations.,2026-01-01
261,1173,,view,,2026-01-01
299,402,3.0,rate,It was an okay read. Met expectations.,2026-01-01
50,934,,shelve,,2026-01-01
223,161,4.0,rate,"A wonderful read, really connected with the story.",2026-01-01
260,65,3.0,rate,It was an okay read. Met expectations.,2026-01-01
260,863,,shelve,,2026-01-01
90,462,3.0,rate,It was an okay read. Met expectations.,2026-01-01
399,801,,shelve,,2026-01-01
17,1096,,view,,2026-01-01
300,707,,view,,2026-01-01
49,867,2.0,rate,Decent idea but poorly written.,2026-01-01
272,22,3.0,rate,It was an okay read. Met expectations.,2026-01-01
319,809,3.0,rate,It was an okay read. Met expectations.,2026-01-01
356,265,3.0,rate,It was an okay read. Met expectations.,2026-01-01
38,768,,shelve,,2026-01-01
8,963,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-01
131,282,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-01
43,432,,shelve,,2026-01-01
80,458,3.0,rate,It was an okay read. Met expectations.,2026-01-01
306,867,3.0,rate,It was an okay read. Met expectations.,2026-01-01
255,785,,view,,2026-01-01
258,466,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-01
22,839,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-01
7,103,3.0,rate,It was an okay read. Met expectations.,2026-01-01
24,500,3.0,rate,It was an okay read. Met expectations.,2026-01-01
307,876,,shelve,,2026-01-01
370,97,3.0,rate,It was an okay read. Met expectations.,2026-01-01
62,597,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
41,55,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-01
203,1054,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
396,997,,view,,2026-01-01
281,292,,shelve,,2026-01-01
237,741,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
397,407,5.0,rate,"A wonderful read, really connected with the story.",2026-01-01
341,993,,view,,2026-01-01
308,640,,shelve,,2026-01-01
370,113,,view,,2026-01-01
6,360,3.0,rate,It was an okay read. Met expectations.,2026-01-01
194,888,,view,,2026-01-01
364,333,,view,,2026-01-01
122,292,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-01
40,805,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
118,1132,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
131,672,3.0,rate,It was an okay read. Met expectations.,2026-01-01
195,493,4.0,rate,"A wonderful read, really connected with the story.",2026-01-01
254,656,,view,,2026-01-01
285,780,3.0,rate,It was an okay read. Met expectations.,2026-01-01
383,722,4.0,rate,"A wonderful read, really connected with the story.",2026-01-01
396,1087,3.0,rate,It was an okay read. Met expectations.,2026-01-01
213,1199,,view,,2026-01-01
387,846,,shelve,,2026-01-01
240,925,3.0,rate,It was an okay read. Met expectations.,2026-01-01
245,1055,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
79,310,3.0,rate,It was an okay read. Met expectations.,2026-01-01
129,628,3.0,rate,It was an okay read. Met expectations.,2026-01-01
338,449,3.0,rate,It was an okay read. Met expectations.,2026-01-01
64,933,3.0,rate,It was an okay read. Met expectations.,2026-01-01
120,1035,,view,,2026-01-01
306,329,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-01
44,215,2.0,rate,Decent idea but poorly written.,2026-01-01
279,1063,3.0,rate,It was an okay read. Met expectations.,2026-01-01
120,1025,3.0,rate,It was an okay read. Met expectations.,2026-01-01
84,770,3.0,rate,It was an okay read. Met expectations.,2026-01-01
254,417,2.0,rate,Hard to get through. Not recommended.,2026-01-01
16,958,4.0,rate,"A wonderful read, really connected with the story.",2026-01-01
256,618,,view,,2026-01-01
358,389,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-01
95,814,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
181,704,3.0,rate,It was an okay read. Met expectations.,2026-01-01
265,1159,2.0,rate,Hard to get through. Not recommended.,2026-01-01
183,80,,view,,2026-01-01
147,132,,view,,2026-01-01
143,1080,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
55,302,3.0,rate,It was an okay read. Met expectations.,2026-01-01
263,346,3.0,rate,It was an okay read. Met expectations.,2026-01-01
391,643,,view,,2026-01-01
347,310,3.0,rate,It was an okay read. Met expectations.,2026-01-01
331,831,2.0,rate,Decent idea but poorly written.,2026-01-01
359,632,,view,,2026-01-01
32,350,3.0,rate,It was an okay read. Met expectations.,2026-01-01
176,889,2.0,rate,Decent idea but poorly written.,2026-01-01
391,141,2.0,rate,Hard to get through. Not recommended.,2026-01-01
204,990,,shelve,,2026-01-01
359,116,3.0,rate,It was an okay read. Met expectations.,2026-01-01
329,349,3.0,rate,It was an okay read. Met expectations.,2026-01-01
15,1104,,view,,2026-01-01
239,1006,3.0,rate,It was an okay read. Met expectations.,2026-01-01
14,1011,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
72,382,3.0,rate,It was an okay read. Met expectations.,2026-01-01
215,888,3.0,rate,It was an okay read. Met expectations.,2026-01-01
178,570,,view,,2026-01-01
104,310,,view,,2026-01-01
14,55,2.0,rate,Decent idea but poorly written.,2026-01-01
143,1174,3.0,rate,It was an okay read. Met expectations.,2026-01-01
1,789,3.0,rate,It was an okay read. Met expectations.,2026-01-01
236,816,4.0,rate,Beautifully written and highly engaging.,2026-01-01
178,993,3.0,rate,It was an okay read. Met expectations.,2026-01-01
330,364,4.0,rate,Beautifully written and highly engaging.,2026-01-01
325,476,,shelve,,2026-01-01
347,341,2.0,rate,Not my cup of tea. Found it a bit slow.,2026-01-01
268,586,5.0,rate,Beautifully written and highly engaging.,2026-01-01
12,23,3.0,rate,It was an okay read. Met expectations.,2026-01-01
71,694,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-01
176,349,4.0,rate,"A wonderful read, really connected with the story.",2026-01-01
2,243,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
250,550,5.0,rate,"A wonderful read, really connected with the story.",2026-01-01
30,846,2.0,rate,Hard to get through. Not recommended.,2026-01-01
175,837,3.0,rate,It was an okay read. Met expectations.,2026-01-01
380,419,3.0,rate,It was an okay read. Met expectations.,2026-01-01
67,819,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-01
70,283,,view,,2026-01-01
106,567,,view,,2026-01-01
175,395,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-01
1,844,3.0,rate,It was an okay read. Met expectations.,2026-01-01
92,587,,view,,2026-01-01
247,391,2.0,rate,Hard to get through. Not recommended.,2026-01-01
150,13,,view,,2026-01-01
101,303,2.0,rate,Hard to get through. Not recommended.,2026-01-01
150,104,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
150,764,,view,,2026-01-01
93,291,2.0,rate,Hard to get through. Not recommended.,2026-01-01
13,1052,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
325,308,3.0,rate,It was an okay read. Met expectations.,2026-01-01
251,1104,4.0,rate,Strong characters and excellent plot. Highly recommended.,2026-01-01
184,28,,shelve,,2026-01-01
179,943,5.0,rate,Could not put it down! A fantastic book.,2026-01-01
31,937,4.0,rate,Could not put it down! A fantastic book.,2026-01-01
101,767,3.0,rate,It was an okay read. Met expectations.,2026-01-01
261,403,2.0,rate,Decent idea but poorly written.,2026-01-01
376,1123,3.0,rate,It was an okay read. Met expectations.,2026-01-01
98,797,3.0,rate,It was an okay read. Met expectations.,2026-01-01
321,877,,view,,2026-01-01
298,991,3.0,rate,It was an okay read. Met expectations.,2026-01-01
380,1168,2.0,rate,"Disappointing, execution fell short of the premise.",2026-01-01
307,1119,5.0,rate,Beautifully written and highly engaging.,2026-01-02
98,1072,3.0,rate,It was an okay read. Met expectations.,2026-01-02
235,255,3.0,rate,It was an okay read. Met expectations.,2026-01-02
212,340,3.0,rate,It was an okay read. Met expectations.,2026-01-02
96,286,3.0,rate,It was an okay read. Met expectations.,2026-01-02
212,229,,view,,2026-01-02
103,958,4.0,rate,An absolute masterpiece! Loved every page.,2026-01-02
